ip_address,nr_of_cycles,temperature,power
18.68.147.209,12,21.513728894366945,0.0941851976311997
18.68.147.209,12,22.163648399945792,3.083187238689237
18.68.147.209,12,22.116500943662032,1.8113525827319088
18.68.147.209,12,21.708186066676237,1.4029023002699226
18.68.147.209,12,20.62431892828875,0.9057224867135805
18.68.147.209,12,20.574864251169565,3.343544920120008
18.68.147.209,12,20.921305737960218,1.7475031906855931
18.68.147.209,12,21.839062520588328,1.71666551980779
18.68.147.209,12,22.292337333273167,3.954113369218135
18.68.147.209,12,21.483899104538022,3.5923297899471356
18.68.147.209,12,22.809856397926918,4.875328440991527
18.68.147.209,12,22.313721247405248,4.932332883996779
18.68.147.209,12,21.905411036302517,5.220069702844494
18.68.147.209,12,21.075636682423628,4.221313490303521
18.68.147.209,12,21.40043791351559,5.994568892208539
18.68.147.209,12,21.383323350234267,4.28007774862988
18.68.147.209,12,22.56003379258208,4.573029456268733
18.68.147.209,12,23.535649639578782,4.528519899183784
18.68.147.209,12,23.207400057574098,3.1105656582742465
18.68.147.209,12,24.04556425244946,1.2724105931363017
18.68.147.209,12,25.00771813610323,0.48204492878116945
18.68.147.209,12,24.084308201614146,2.1763215704466057
18.68.147.209,12,25.08714482914674,1.3920118422235415
18.68.147.209,12,24.972628590530707,0.6828748127741178
18.68.147.209,12,23.832668640530756,0.06708629662966725
18.68.147.209,12,23.906790844066325,1.3018317315354362
18.68.147.209,12,22.516185160547103,0.8115856921849511
18.68.147.209,12,23.60415312104929,2.186626120950129
18.68.147.209,12,22.829784855384354,1.5725735407334671
18.68.147.209,12,23.31198251068089,4.389184404479991
18.68.147.209,12,22.12906553802819,5.3044694344593015
18.68.147.209,12,22.65538210749367,6.110018151128013
18.68.147.209,12,23.068927716158225,8.424500610231728
18.68.147.209,12,22.416098488841996,10.029072683032407
18.68.147.209,12,22.739130010836114,11.97666261116903
18.68.147.209,12,22.249619955469228,13.660505806475694
18.68.147.209,12,22.816821280207165,12.58781624674786
18.68.147.209,12,21.209363487379218,11.831649077691687
18.68.147.209,12,20.906272837415962,12.29238752005611
18.68.147.209,12,20.022273078196744,11.937098243669126
18.68.147.209,12,20.05156039273924,10.488979709677974
18.68.147.209,12,20.806914616268394,9.86415322407583
18.68.147.209,12,22.01324823277827,10.524551252969076
18.68.147.209,12,23.119582726650325,10.665407161272059
18.68.147.209,12,22.92601370518822,13.054520969626513
18.68.147.209,12,22.264609307365188,11.207191468087915
18.68.147.209,12,23.658922011699485,10.929231144230435
18.68.147.209,12,23.95724155083915,11.409549891088798
18.68.147.209,12,23.239146247030416,11.79930874167513
18.68.147.209,12,22.97269488578858,11.040491778320193
18.68.147.209,12,24.011877024314263,11.533958034949398
18.68.147.209,12,22.73595278278426,11.014314495640605
18.68.147.209,12,22.133449604458942,10.466967072843289
18.68.147.209,12,20.648805039504136,10.986962481500992
